question,expected_category,resolved_category,category_correct,needs_category_selection,grounding_success,citation_valid,citation_count,top_document,top_page,top_similarity,top_reranker_score,answer,overall_pass,error
What is overfitting in machine learning?,ai_ml,ai_ml,True,False,True,True,3,Machine-Learning-With-PyTorch-and-Scikit-Learn.pdf,102,0.6908485889434814,8.292716979980469,"Overfitting is a common problem in machine learning, where a model performs well on training data but does not generalize well to unseen data (test data) [Document: Machine-Learning-With-PyTorch-and-Scikit-Learn.pdf, Page: 102]. If a model suffers from overfitting, we also say that the model has a high variance, which can be caused by having too many parameters, leading to a model that is too complex given the underlying data [Document: Machine-Learning-With-PyTorch-and-Scikit-Learn.pdf, Page: 102]. Collecting more training data is often not applicable [Document: Machine-Learning-With-PyTorch-and-Scikit-Learn.pdf, Page: 151].",True,
What is regularization in machine learning?,ai_ml,ai_ml,True,False,True,True,5,Machine-Learning-With-PyTorch-and-Scikit-Learn.pdf,103,0.6370171308517456,8.790302276611328,"Regularization in machine learning is a method for handling collinearity, filtering out noise from data, and preventing overfitting [Document: Machine-Learning-With-PyTorch-and-Scikit-Learn.pdf, Page: 103]. It involves introducing additional information to penalize extreme parameter (weight) values [Document: Machine-Learning-With-PyTorch-and-Scikit-Learn.pdf, Page: 103]. A common form is L2 regularization, which can be written as 𝜆𝜆2𝑛𝑛 ‖𝒘𝒘‖2 = 𝜆𝜆2𝑛𝑛 ∑𝑤𝑤𝑗𝑗𝑚𝑚𝑗𝑗𝑗𝑗 [Document: Machine-Learning-With-PyTorch-and-Scikit-Learn.pdf, Page: 103]. The regularization parameter (𝜆𝜆) controls how closely the model fits the training data while keeping the weights small [Document: Machine-Learning-With-PyTorch-and-Scikit-Learn.pdf, Page: 104].  Increasing the regularization strength, as controlled by the inverse of the regularization parameter C, can reduce overfitting [Document: Machine-Learning-With-PyTorch-and-Scikit-Learn.pdf, Page: 105].",True,
What is dynamic programming?,algorithms_data_structures,ai_ml,False,False,True,True,3,Machine-Learning-With-PyTorch-and-Scikit-Learn.pdf,706,0.7857286334037781,9.73811149597168,"Dynamic programming is about recursive problem solving—solving relatively complicated problems by breaking them down into smaller subproblems [Document: Machine-Learning-With-PyTorch-and-Scikit-Learn.pdf, Page: 706]. The key difference between recursion and dynamic programming is that dynamic programming stores the results of subproblems [Document: Machine-Learning-With-PyTorch-and-Scikit-Learn.pdf, Page: 706] so that they can be accessed in constant time (instead of recalculating them) if they are encountered again in future [Document: Machine-Learning-With-PyTorch-and-Scikit-Learn.pdf, Page: 706].",False,
What is a binary search tree?,algorithms_data_structures,algorithms_data_structures,True,False,True,True,4,Cormen Introduction to Algorithms.pdf,308,0.6649024486541748,8.21501636505127,"A binary search tree is organized as a binary tree, as shown in Figure 12.1 [Document: Cormen Introduction to Algorithms.pdf, Page: 307]. In a binary search tree, the keys in the left subtree of a node are at most the node’s key [Document: Cormen Introduction to Algorithms.pdf, Page: 308], and the keys in the right subtree are at least the node’s key [Document: Cormen Introduction to Algorithms.pdf, Page: 308].  [Document: Grokking Algorithms 2nd Edition.pdf, Page: 166]",True,
What is SQL injection?,cybersecurity,cybersecurity,True,False,False,False,0,Web Hacking 101 - How to Make Money Hacking Ethically by Peter Yaworski.pdf,90,0.7330154180526733,7.960837364196777,"I found relevant information in the retrieved documents, but I could not produce an answer with fully validated citations. Please inspect the retrieved sources directly.",False,
What is cross-site scripting?,cybersecurity,cybersecurity,True,False,True,True,4,Web Hacking 101 - How to Make Money Hacking Ethically by Peter Yaworski.pdf,20,0.5706886053085327,6.401739120483398,"Cross-site scripting (XSS) represents huge opportunities and an entire book could and probably should, be written solely on it [Document: Web Hacking 101 - How to Make Money Hacking Ethically by Peter Yaworski.pdf, Page: 20]. Stuttard and Pinto describe XSS as “the vulnerability itself has become known as cross-site scripting” [Document: Dafydd Stuttard, Marcus Pinto - The web application hacker's handbook_ finding and exploiting security flaws-Wiley (2011).pdf, Page: 474].  Stored XSS vulnerabilities arise when data submitted by one user is stored in the application and then displayed to other users without being filtered or sanitized appropriately [Document: Dafydd Stuttard, Marcus Pinto - The web application hacker's handbook_ finding and exploiting security flaws-Wiley (2011).pdf, Page: 474].  Cross-site scripting is a common web application security vulnerability where attackers can inject malicious scripts into a site to be executed in a user’s browser [Document: Penetration Testing - A hands-on introduction to Hacking.pdf, Page: 359].",True,
What is penetration testing?,cybersecurity,cybersecurity,True,False,True,True,3,"Penetration Testing - 3 Manuscripts—Wireless Hacking, Tor and the Dark Net, and Powershell by Logan Styles.pdf",15,0.672145664691925,8.608316421508789,"Penetration testing is simulating real attacks to assess the risk associated with potential security breaches [Document: Penetration Testing - A hands-on introduction to Hacking.pdf, Page: 31]. It involves reconnaissance scans against devices like boundary routers, firewalls, and servers to map out the network and identify vulnerable devices [Document: Penetration Testing - 3 Manuscripts—Wireless Hacking, Tor and the Dark Net, and Powershell by Logan Styles.pdf, Page: 15]. The purpose of penetration testing is to discover which devices are prone to attack and come up with a way to protect them [Document: Penetration Testing - 3 Manuscripts—Wireless Hacking, Tor and the Dark Net, and Powershell by Logan Styles.pdf, Page: 15].",True,
What is privilege escalation?,cybersecurity,cybersecurity,True,False,True,True,4,blackhatpython.pdf,159,0.4797911047935486,5.397005081176758,"Privilege escalation is the process of gaining elevated access rights on a system [Document: blackhatpython.pdf, Page: 159]. It often involves exploiting poorly coded drivers or kernel issues [Document: blackhatpython.pdf, Page: 159]. Another example is using a known issue from an agent to get root privileges on Android devices [Document: Penetration Testing - A hands-on introduction to Hacking.pdf, Page: 501]. Horizontal and vertical privilege escalation attacks are also described [Document: Dafydd Stuttard, Marcus Pinto - The web application hacker's handbook_ finding and exploiting security flaws-Wiley (2011).pdf, Page: 295].",True,
What is a pandas DataFrame?,data_science,data_science,True,False,True,True,2,Python Data Science Handbook.pdf,115,0.5574122667312622,6.726851940155029,"A pandas DataFrame is a multidimensional array with attached row and column labels, and often with heterogeneous types and/or missing data [Document: Python Data Science Handbook.pdf, Page: 115]. It is similar to a spreadsheet or a relational database table [Document: Python-for-Data-Analysis.pdf, Page: 23].",True,
What is exploratory data analysis?,data_science,data_science,True,False,True,True,3,Python-for-Data-Analysis.pdf,19,0.5275450348854065,-4.534442901611328,"Exploratory data analysis involves investigating data to understand its characteristics and uncover patterns [Document: Fundamentals of Data Engineering (Reis, JoeHousley, Matt) (Z-Library).pdf, Page: 370]. Good analysts constantly engage with the business and dive into the data to answer questions and uncover hidden and counterintuitive trends and insights [Document: Fundamentals of Data Engineering (Reis, JoeHousley, Matt) (Z-Library).pdf, Page: 370]. This includes working with data engineers to provide feedback on data quality [Document: Fundamentals of Data Engineering (Reis, JoeHousley, Matt) (Z-Library).pdf, Page: 376].",True,
What is static malware analysis?,malware_analysis,malware_analysis,True,False,True,True,3,practicalmalwareanalysis.pdf,42,0.7852053642272949,8.866131782531738,"Static malware analysis describes the process of analyzing the code or structure of a program to determine its function [Document: practicalmalwareanalysis.pdf, Page: 42]. Advanced static analysis consists of reverse-engineering the malware’s internals by loading the executable into a disassembler and looking at the program instructions [Document: practicalmalwareanalysis.pdf, Page: 36]. Basic static analysis can confirm whether a file is malicious, provide information about its functionality, and sometimes provide information that will allow you to produce simple network signatures [Document: practicalmalwareanalysis.pdf, Page: 35].",True,
What is dynamic malware analysis?,malware_analysis,malware_analysis,True,False,True,True,3,practicalmalwareanalysis.pdf,72,0.8251553177833557,9.320463180541992,"Dynamic analysis is any examination performed after executing malware [Document: practicalmalwareanalysis.pdf, Page: 72]. It can involve monitoring malware as it runs or examining the system after the malware has executed [Document: practicalmalwareanalysis.pdf, Page: 72]. Unlike static analysis, dynamic analysis lets you observe the malware’s true functionality [Document: practicalmalwareanalysis.pdf, Page: 72].",True,
What is a Python decorator?,python,python,True,False,True,True,3,Serious Python.pdf,136,0.7829241752624512,6.008666038513184,"A decorator is a function that takes another function as an argument and replaces it with a new, modified function [Document: Fluent Python.pdf, Page: 336]. A decorator is a function or another callable [Document: Fluent Python.pdf, Page: 336]. They are essential when it comes to code factorization [Document: Serious Python.pdf, Page: 158].",True,
What is a Python generator?,python,python,True,False,True,True,4,Python Cookbook.pdf,649,0.7134923934936523,6.955887794494629,"A Python generator is a function containing the keyword `yield` [Document: Python Cookbook.pdf, Page: 649]. It creates a special iterator object that wraps the function’s body and the current point of execution [Document: Python Cookbook.pdf, Page: 649]. Alternatively, a generator can be built by using the `yield` keyword in a function [Document: Fluent Python.pdf, Page: 644] and is a factory of generator objects [Document: Fluent Python.pdf, Page: 644].",True,
What is a Python context manager?,python,python,True,False,True,True,3,Fluent Python.pdf,688,0.580335795879364,6.361466884613037,"A Python context manager is an object that defines the setup and teardown actions for a block of code [Document: Fluent Python.pdf, Page: 688]. It consists of the `__enter__` and `__exit__` methods, which are called when the `with` statement begins and ends, respectively [Document: Fluent Python.pdf, Page: 688].  The `@contextmanager` decorator can be used to create context managers from generator functions [Document: Fluent Python.pdf, Page: 694].",True,
What is transfer learning in deep learning?,deep_learning,deep_learning,True,False,True,True,2,Deep Learning with Python.pdf,318,0.6247546672821045,6.879543304443359,"Deep learning is a subfield of machine learning that focuses on learning successive layers of increasingly meaningful representations [Document: Deep Learning For Computer Vision.pdf, Page: 23]. Transfer learning, as described by Hospedales et al., allows higher accuracy to be achieved than if only a smaller labelled data set were used for training, because the network can exploit commonalities shared by natural images in general [Document: Deep Learning Foundations and Concepts (Christopher Bishop Hugh Bishop).pdf, Page: 207].",True,
What is an object detector in computer vision?,computer_vision,computer_vision,True,False,True,True,3,OpenCv Computer Vision Projects with Python.pdf,277,0.6117443442344666,1.7598762512207031,"An object detector is a system that detects the presence of a particular object in a given scene [Document: OpenCv Computer Vision Projects with Python.pdf, Page: 277].  Specifically, if you run an image through an object detector, it will detect the presence of the teacup, but nothing more than that [Document: OpenCv Computer Vision Projects with Python.pdf, Page: 279].  Object detection is a really difficult problem to solve, and has become the holy grail of computer vision [Document: OpenCv Computer Vision Projects with Python.pdf, Page: 277].",True,
